booking id|price|description|date
3|10|decoration_flowers|2016-02-19
5|100|amusement_clown|2016-02-25
6|10|decoration_flowers|2016-03-22
8|20|decoration_party|2016-03-24
17|20|decoration_party|2016-02-03
19|15|decoration_romantic_flowers|2016-02-09
20|20|decoration_party|2016-03-20
21|10|decoration_flowers|2016-03-20
22|10|decoration_flowers|2016-03-20
27|20|decoration_party|2016-02-13
28|100|amusement_clown|2016-02-14
30|20|decoration_party|2016-02-14
31|10|decoration_flowers|2016-02-01
33|10|decoration_flowers|2016-02-01
35|100|amusement_live_music|2016-03-05
41|10|decoration_flowers|2016-01-07
42|100|amusement_clown|2016-03-26
44|20|decoration_party|2016-03-13
45|100|amusement_clown|2016-03-13
59|10|decoration_flowers|2016-03-10
61|100|amusement_live_music|2016-03-06
65|10|decoration_flowers|2016-03-13
66|10|decoration_flowers|2016-02-28
67|10|decoration_flowers|2016-02-28
69|10|decoration_flowers|2016-02-14
74|10|decoration_flowers|2016-03-06
77|10|decoration_flowers|2016-02-26
81|20|decoration_party|2016-02-12
82|10|decoration_flowers|2016-03-15
86|10|decoration_flowers|2016-03-05
87|10|decoration_flowers|2016-03-04
88|100|amusement_clown|2016-03-04
90|10|decoration_flowers|2016-03-04
93|10|decoration_flowers|2016-01-29
94|10|decoration_flowers|2016-01-11
97|10|decoration_flowers|2016-01-20
101|90|amusement_dj|2016-01-14
102|100|amusement_clown|2016-01-15
103|100|amusement_clown|2016-01-13
109|20|decoration_party|2016-02-28
114|20|decoration_party|2016-01-18
115|100|amusement_live_music|2016-01-04
116|20|decoration_party|2016-04-05
124|15|decoration_romantic_flowers|2016-02-20
128|100|amusement_clown|2016-02-27
129|10|decoration_flowers|2016-03-27
131|10|decoration_flowers|2016-01-01
132|20|decoration_party|2016-01-01
135|10|decoration_flowers|2016-01-13
136|10|decoration_flowers|2016-01-13
140|20|decoration_party|2016-02-04
141|100|amusement_live_music|2016-01-14
142|15|decoration_romantic_flowers|2016-02-21
143|10|decoration_flowers|2016-02-22
147|10|decoration_flowers|2016-03-18
151|100|amusement_clown|2016-02-15
152|10|decoration_flowers|2016-02-14
154|100|amusement_live_music|2016-03-20
155|100|amusement_clown|2016-03-20
158|10|decoration_flowers|2016-02-17
160|20|decoration_party|2016-02-25
161|10|decoration_flowers|2016-02-29
163|20|decoration_party|2016-03-02
165|100|amusement_live_music|2016-02-16
168|100|amusement_clown|2016-01-17
169|100|amusement_live_music|2016-01-17
170|10|decoration_flowers|2016-01-16
171|20|decoration_party|2016-03-23
174|20|decoration_party|2016-03-01
180|100|amusement_clown|2016-01-25
183|20|decoration_party|2016-03-02
185|10|decoration_flowers|2016-01-19
188|10|decoration_flowers|2016-02-06
189|100|amusement_clown|2016-02-03
190|20|decoration_party|2016-02-03
191|10|decoration_flowers|2016-02-09
207|20|decoration_party|2016-03-31
212|100|amusement_clown|2016-02-25
214|100|amusement_clown|2016-02-10
217|20|decoration_party|2016-01-18
219|10|decoration_flowers|2016-03-15
224|10|decoration_flowers|2016-02-01
225|100|amusement_clown|2016-02-05
229|10|decoration_flowers|2016-03-20
230|20|decoration_party|2016-03-21
233|10|decoration_flowers|2016-03-16
236|20|decoration_party|2016-03-13
237|100|amusement_clown|2016-03-16
238|15|decoration_romantic_flowers|2016-01-08
239|100|amusement_clown|2016-01-12
240|100|amusement_live_music|2016-01-08
242|20|decoration_party|2016-01-06
243|10|decoration_flowers|2016-01-07
250|10|decoration_flowers|2016-03-13
251|10|decoration_flowers|2016-01-10
252|100|amusement_live_music|2016-03-14
253|10|decoration_flowers|2016-02-25
255|10|decoration_flowers|2016-02-25
256|10|decoration_flowers|2016-03-31
258|10|decoration_flowers|2016-03-31
260|10|decoration_flowers|2016-02-07
261|20|decoration_party|2016-02-08
264|10|decoration_flowers|2016-02-06
265|10|decoration_flowers|2016-02-07
267|10|decoration_flowers|2016-01-13
268|10|decoration_flowers|2016-01-12
271|10|decoration_flowers|2016-02-22
273|100|amusement_live_music|2016-02-08
274|100|amusement_clown|2016-02-08
275|100|amusement_clown|2016-02-08
277|20|decoration_party|2016-03-06
279|100|amusement_live_music|2016-02-16
280|100|amusement_clown|2016-03-29
282|10|decoration_flowers|2016-03-25
283|20|decoration_party|2016-03-23
284|10|decoration_flowers|2016-03-25
285|100|amusement_clown|2016-02-07
286|100|amusement_clown|2016-02-06
289|10|decoration_flowers|2016-02-07
290|100|amusement_clown|2016-03-21
291|100|amusement_live_music|2016-03-22
292|10|decoration_flowers|2016-03-21
293|100|amusement_clown|2016-03-21
295|10|decoration_flowers|2016-01-22
296|100|amusement_clown|2016-01-12
297|20|decoration_party|2016-03-28
298|100|amusement_live_music|2016-03-29
302|100|amusement_live_music|2016-01-14
307|100|amusement_clown|2016-02-13
308|10|decoration_flowers|2016-02-13
309|10|decoration_flowers|2016-02-15
310|10|decoration_flowers|2016-02-14
311|100|amusement_live_music|2016-01-10
312|100|amusement_clown|2016-01-09
314|10|decoration_flowers|2016-02-27
322|10|decoration_flowers|2016-01-07
323|10|decoration_flowers|2016-01-06
324|20|decoration_party|2016-01-07
327|10|decoration_flowers|2016-01-23
328|10|decoration_flowers|2016-03-26
329|15|decoration_romantic_flowers|2016-03-29
332|20|decoration_party|2016-03-28
335|10|decoration_flowers|2016-01-26
339|20|decoration_party|2016-01-26
342|10|decoration_flowers|2016-01-28
344|100|amusement_live_music|2016-03-05
350|10|decoration_flowers|2016-02-16
351|20|decoration_party|2016-02-17
352|10|decoration_flowers|2016-02-17
354|10|decoration_flowers|2016-01-13
355|10|decoration_flowers|2016-01-10
356|100|amusement_clown|2016-01-09
358|10|decoration_flowers|2016-03-03
361|20|decoration_party|2016-01-02
363|100|amusement_clown|2016-01-02
367|20|decoration_party|2016-03-01
368|100|amusement_clown|2016-02-08
371|10|decoration_flowers|2016-03-03
374|100|amusement_live_music|2016-01-16
383|20|decoration_party|2016-01-19
384|10|decoration_flowers|2016-02-20
385|100|amusement_clown|2016-02-03
386|20|decoration_party|2016-02-03
387|20|decoration_party|2016-02-03
395|10|decoration_flowers|2016-04-03
400|100|amusement_live_music|2016-03-12
402|100|amusement_live_music|2016-03-15
403|20|decoration_party|2016-02-10
404|10|decoration_flowers|2016-03-31
406|10|decoration_flowers|2016-01-18
409|10|decoration_flowers|2016-01-20
410|20|decoration_party|2016-01-22
412|10|decoration_flowers|2016-04-02
421|20|decoration_party|2016-02-17
422|10|decoration_flowers|2016-03-08
423|10|decoration_flowers|2016-01-15
424|10|decoration_flowers|2016-01-14
425|10|decoration_flowers|2016-01-15
426|20|decoration_party|2016-01-15
427|10|decoration_flowers|2016-03-01
429|100|amusement_live_music|2016-02-23
430|100|amusement_clown|2016-02-22
432|100|amusement_clown|2016-02-20
433|10|decoration_flowers|2016-02-24
438|100|amusement_clown|2016-03-09
439|20|decoration_party|2016-03-10
440|100|amusement_clown|2016-03-07
442|20|decoration_party|2016-01-25
447|20|decoration_party|2016-03-26
448|20|decoration_party|2016-03-26
453|100|amusement_live_music|2016-01-22
454|100|amusement_live_music|2016-01-20
458|10|decoration_flowers|2016-02-25
467|10|decoration_flowers|2016-02-21
