id|room|start date|end date|request id
1|X6|2016-04-23|2016-04-27|1
2|L0|2016-04-03|2016-04-08|2
3|L0|2016-05-28|2016-05-30|3
4|X1|2016-05-08|2016-05-10|4
5|X2|2016-05-08|2016-05-10|4
6|D0|2016-04-04|2016-04-11|5
7|D1|2016-04-04|2016-04-11|5
8|L0|2016-06-25|2016-06-30|6
9|L2|2016-05-16|2016-05-20|7
10|N0|2016-04-02|2016-04-10|8
11|N1|2016-04-02|2016-04-10|8
12|N2|2016-04-02|2016-04-10|8
13|D0|2016-04-29|2016-05-03|9
14|N0|2016-04-29|2016-05-05|11
15|N1|2016-04-29|2016-05-05|11
16|N2|2016-04-29|2016-05-05|11
17|S14|2016-06-27|2016-07-04|12
18|S15|2016-06-27|2016-07-04|12
19|S8|2016-06-20|2016-06-21|13
20|S9|2016-06-20|2016-06-21|13
21|S34|2016-06-20|2016-06-21|13
22|X5|2016-06-10|2016-06-16|15
23|L0|2016-06-10|2016-06-17|16
24|L4|2016-06-21|2016-06-24|17
25|L0|2016-04-11|2016-04-13|18
26|N3|2016-04-28|2016-05-01|19
27|N4|2016-04-28|2016-05-01|19
28|N5|2016-04-28|2016-05-01|19
29|N6|2016-04-28|2016-05-01|19
30|N7|2016-04-28|2016-05-01|19
31|N14|2016-06-26|2016-07-06|22
32|N15|2016-06-26|2016-07-06|22
33|N16|2016-06-26|2016-07-06|22
34|N21|2016-06-26|2016-07-06|22
35|N22|2016-06-26|2016-07-06|22
36|N4|2016-04-06|2016-04-09|23
37|X0|2016-05-29|2016-06-02|24
38|X1|2016-05-29|2016-06-02|24
39|L0|2016-05-29|2016-06-03|25
40|L1|2016-05-29|2016-06-03|25
41|D2|2016-06-08|2016-06-09|26
42|D3|2016-06-08|2016-06-09|26
43|L1|2016-05-25|2016-05-29|28
44|D0|2016-06-01|2016-06-10|29
45|D1|2016-06-01|2016-06-10|29
46|L0|2016-05-20|2016-05-25|30
47|N0|2016-05-29|2016-06-01|31
48|S6|2016-06-07|2016-06-09|32
49|S7|2016-06-07|2016-06-09|32
50|S8|2016-06-07|2016-06-09|32
51|S9|2016-06-07|2016-06-09|32
52|N1|2016-05-28|2016-06-08|33
53|N2|2016-05-28|2016-06-08|33
54|N3|2016-05-28|2016-06-08|33
55|N4|2016-05-28|2016-06-08|33
56|N5|2016-05-28|2016-06-08|33
57|X18|2016-05-13|2016-05-14|34
58|X19|2016-05-13|2016-05-14|34
59|X21|2016-05-13|2016-05-14|34
60|N1|2016-05-25|2016-05-27|35
61|N0|2016-06-20|2016-06-26|37
62|N1|2016-06-20|2016-06-26|37
63|S19|2016-05-25|2016-05-28|38
64|S20|2016-05-25|2016-05-28|38
65|X1|2016-04-09|2016-04-11|39
66|X2|2016-04-09|2016-04-11|39
67|N0|2016-04-11|2016-04-18|40
68|N1|2016-04-11|2016-04-18|40
69|S0|2016-04-30|2016-05-05|41
70|S1|2016-04-30|2016-05-05|41
71|D0|2016-06-15|2016-06-16|42
72|D7|2016-06-15|2016-06-16|42
73|N0|2016-05-06|2016-05-12|43
74|N1|2016-05-06|2016-05-12|43
75|N2|2016-05-06|2016-05-12|43
76|N3|2016-05-06|2016-05-12|43
77|N4|2016-05-06|2016-05-12|43
78|S2|2016-05-02|2016-05-06|44
79|S3|2016-05-02|2016-05-06|44
80|S4|2016-05-02|2016-05-06|44
81|S87|2016-06-03|2016-06-08|45
82|S88|2016-06-03|2016-06-08|45
83|S89|2016-06-03|2016-06-08|45
84|S90|2016-06-03|2016-06-08|45
85|S8|2016-06-10|2016-06-12|46
86|S15|2016-06-10|2016-06-12|46
87|S16|2016-06-10|2016-06-12|46
88|S0|2016-05-22|2016-05-23|47
89|S1|2016-05-22|2016-05-23|47
90|S4|2016-05-22|2016-05-23|47
91|S47|2016-05-22|2016-05-23|47
92|S48|2016-05-22|2016-05-23|47
93|D0|2016-05-14|2016-05-30|48
94|D1|2016-05-14|2016-05-30|48
95|N6|2016-05-28|2016-06-01|49
96|N0|2016-05-20|2016-05-23|50
97|N1|2016-05-20|2016-05-23|50
98|N2|2016-05-20|2016-05-23|50
99|X0|2016-05-04|2016-05-15|51
100|S0|2016-06-05|2016-06-15|52
101|S1|2016-06-05|2016-06-15|52
102|L3|2016-04-27|2016-04-29|53
103|L12|2016-04-27|2016-04-29|53
104|D2|2016-05-20|2016-05-26|54
105|D3|2016-05-20|2016-05-26|54
106|L0|2016-05-05|2016-05-09|55
107|X0|2016-05-24|2016-05-27|56
108|X0|2016-05-20|2016-05-25|58
109|S0|2016-06-10|2016-06-17|59
110|L1|2016-05-08|2016-05-22|60
111|S0|2016-04-21|2016-04-24|61
112|S1|2016-04-21|2016-04-24|61
113|N5|2016-05-04|2016-05-08|62
114|N6|2016-05-04|2016-05-08|62
115|N7|2016-05-04|2016-05-08|62
116|N8|2016-05-04|2016-05-08|62
117|N2|2016-06-20|2016-06-23|63
118|N17|2016-06-20|2016-06-23|63
119|N18|2016-06-20|2016-06-23|63
120|N19|2016-06-20|2016-06-23|63
121|S2|2016-04-18|2016-04-23|64
122|S6|2016-04-18|2016-04-23|64
123|S7|2016-04-18|2016-04-23|64
124|D4|2016-06-09|2016-06-10|65
125|D5|2016-06-09|2016-06-10|65
126|L7|2016-06-01|2016-06-04|66
127|L20|2016-06-01|2016-06-04|66
