dest room|bill room|date|time|#orders|menu id
L0|L0|2016-04-06|06:29:00|3|10
restaurant|L0|2016-04-03|00:50:00|3|12
restaurant|L0|2016-04-05|17:13:00|5|14
L0|L0|2016-06-25|05:26:00|3|3
S14|S14|2016-07-03|02:19:00|4|11
S14|S14|2016-06-29|19:40:00|2|9
restaurant|S15|2016-06-30|14:02:00|2|12
restaurant|S15|2016-06-28|13:42:00|4|5
restaurant|L0|2016-06-10|01:42:00|5|9
L0|L0|2016-06-11|12:58:00|4|8
L0|L0|2016-04-12|13:27:00|2|8
restaurant|N14|2016-07-01|13:25:00|1|13
N16|N16|2016-06-30|08:20:00|3|9
restaurant|L0|2016-06-01|19:48:00|2|13
L0|L0|2016-05-29|00:00:00|4|3
restaurant|L0|2016-06-01|08:04:00|1|8
restaurant|L1|2016-06-01|10:19:00|3|0
N1|N1|2016-05-29|16:40:00|3|3
restaurant|N2|2016-06-02|05:38:00|2|9
N3|N3|2016-05-28|07:58:00|5|4
restaurant|N5|2016-06-05|09:15:00|1|14
S87|S87|2016-06-06|08:12:00|4|13
restaurant|S89|2016-06-06|11:59:00|2|11
restaurant|D0|2016-05-23|22:53:00|1|8
restaurant|S0|2016-06-12|09:34:00|2|1
S0|S0|2016-06-13|13:55:00|3|4
restaurant|S1|2016-06-05|16:05:00|1|14
S1|S1|2016-06-07|23:25:00|1|2
S1|S1|2016-06-12|02:54:00|2|15
restaurant|L0|2016-05-05|00:58:00|2|9
S0|S0|2016-06-16|23:06:00|2|9
restaurant|S0|2016-06-13|16:39:00|2|8
L1|L1|2016-05-09|06:59:00|3|10
L1|L1|2016-05-21|09:18:00|2|5
restaurant|S2|2016-04-18|01:38:00|2|12
restaurant|S6|2016-04-18|12:47:00|1|15
S7|S7|2016-04-22|19:19:00|1|8
L20|L20|2016-06-01|07:54:00|5|14
L20|L20|2016-06-03|16:10:00|3|2
restaurant|S0|2016-05-07|01:57:00|5|8
S1|S1|2016-05-08|09:20:00|2|0
